Timestamp;Attention;Meditation;Delta;Theta;LowAlpha;HighAlpha;LowBeta;HighBeta;LowGamma;HighGamma;Signal;Key
158876;61;53;11063;11948;1390;7367;4421;10563;5370;6876;0;Up
159880;38;74;448865;213379;300342;296756;69716;79393;28369;10531;0;Up
160841;38;74;2753863;205412;22007;28902;28051;10332;6386;2372;26;None
161927;44;75;26600;14523;10846;6284;9584;9068;6447;6165;0;None
162864;50;67;16503;3424;413;1303;1398;4870;2254;718;0;None
163865;48;75;16253;9784;8125;7773;4484;11130;13218;2874;0;None
164892;48;75;944208;573989;51946;33259;23459;24339;7842;2063;25;None
165832;48;75;194909;7627;2800;3385;9992;9796;4172;540;26;Down
166849;53;44;422225;69013;2798;5819;7094;14430;4252;9343;0;Down
167880;64;40;14299;2403;676;2263;2409;5258;1234;1351;0;Down
168794;61;43;6166;12600;2400;5152;2779;12421;4792;4443;0;Down
169825;64;38;12411;6627;1225;5373;4539;6673;5982;3441;0;Down
170843;90;27;8447;1919;220;833;5226;24266;4814;4613;0;Down
171793;90;27;5219;3732;2116;5468;3836;20511;6896;7342;0;Down
172797;84;35;14861;8565;5788;2904;3730;9982;6378;8644;0;Down
173806;81;37;1048;2878;4689;2712;6531;6998;17185;2064;0;Down
174772;70;54;1500;2066;2442;2572;6230;14927;6781;2484;0;Down
175759;61;56;89866;8588;4416;1745;3742;7548;3946;2599;0;Down
176795;57;54;31260;4563;363;2468;750;2347;2007;724;0;Down
177812;54;56;23310;20145;14511;6663;9777;18205;3294;2800;0;Down
178749;48;61;12378;12585;6695;6082;4651;21148;5176;3536;0;Down
179755;57;56;3281;4133;2909;2145;3337;16217;4917;2850;0;Down
180774;44;60;1868336;1250458;410090;453424;278131;123077;29640;22439;0;Down
181794;34;53;330547;250928;48342;23992;24246;31500;11258;9433;0;None
182815;30;54;6243;19005;2226;14590;3441;24070;13004;3293;0;None
183766;23;51;4805;19730;3122;2611;4991;15364;5767;4885;0;None
184744;44;41;8943;12899;6214;1952;4673;21542;10735;4358;0;None
185780;44;41;1994091;136656;70853;94539;27195;25932;9519;5419;51;None
186729;40;44;269630;46461;15755;3436;7790;3625;1783;3492;0;Right
187776;38;35;23538;36876;2029;7792;3493;23838;6894;3813;0;Right
188792;30;35;62827;34584;2815;4488;7115;9911;7971;5980;0;Right
189812;37;38;39008;1984;3446;2256;3952;16576;14371;6727;0;Right
190736;54;44;8596;3185;2957;9908;6554;9874;10796;9615;0;Right
